topology,activation,baseline,objective,n_pairs,cliffs_delta_gp_favorable,median_paired_diff_gp_minus_base,ci95_lo,ci95_hi,wilcoxon_two_sided_p
shallow,linear,FAVI,loss,125,-0.854464,4.4454150050878525,3.491985261440277,5.645434647798538,3.4262933658624887e-22
shallow,linear,Laor,acc,125,-0.02496,-0.010000050067901611,-0.02057492733001709,0.0,0.0524715603777169
shallow,linear,Laor,loss,125,-0.768064,4.321485698223114,3.2694732546806335,5.052511692047119,1.1125018871287029e-20
shallow,rectification,Xavier_Glorot,acc,125,-0.057472,-0.007499992847442627,-0.012499988079071045,-0.0015301108360290527,7.268537415199841e-06
shallow,rectification,Xavier_Glorot,loss,125,-0.038336,0.0034340769052505493,-0.00011325217783450745,0.00863349437713623,0.05446775891568226
shallow,rectification,He_Kaiming,acc,125,-0.026304,-0.004847705364227295,-0.010000050067901611,0.0,0.024321973645014042
shallow,rectification,He_Kaiming,loss,125,0.005696,-0.010224491357803345,-0.021869510412216187,0.001956075429916382,0.5387193725653878
shallow,rectification,LeCun,acc,125,-0.042432,-0.006076246500015259,-0.013888895511627197,0.0,0.0003287666752503425
shallow,rectification,LeCun,loss,125,-0.019776,-0.0013632476329803467,-0.007390141487121582,0.007383018732070923,0.6143500493620498
shallow,rectification,Orthogonal,acc,125,-0.044288,-0.007142901420593262,-0.011904776096343994,-0.00296783447265625,4.852889249925287e-05
shallow,rectification,Orthogonal,loss,125,-0.01632,0.0020701587200164795,-0.0056913793087005615,0.008148282766342163,0.37308426839826103
shallow,rectification,FAVI,acc,125,-0.041792,-0.005414366722106934,-0.008516132831573486,-0.00022292137145996094,0.00020700067270736092
shallow,rectification,FAVI,loss,125,-0.032192,0.005511611700057983,0.0008881092071533203,0.0157318115234375,0.02362822110654855
shallow,rectification,Laor,acc,125,0.06656,0.010976672172546387,0.004999995231628418,0.018615877628326196,1.9485489438737325e-06
shallow,rectification,Laor,loss,125,0.227392,-0.0453265905380249,-0.09315657615661621,-0.03095078468322754,2.246103018933843e-08
shallow,smooth,Xavier_Glorot,acc,125,-0.025728,0.0,-0.004891157150268555,0.0,0.2183475892711937
shallow,smooth,Xavier_Glorot,loss,125,-0.032832,0.005045890808105469,0.000273287296295166,0.009377747774124146,0.10105802104507237
shallow,smooth,He_Kaiming,acc,125,-0.038208,-0.002499997615814209,-0.004999935626983643,0.0,0.011780149689569598
shallow,smooth,He_Kaiming,loss,125,0.009024,0.0015307366847991943,-0.0056504011154174805,0.005795180797576904,0.6943217417236333
shallow,smooth,LeCun,acc,125,-0.038912,-0.002456963062286377,-0.005117893218994141,0.0,0.006025764231043183
shallow,smooth,LeCun,loss,125,-0.014144,0.0018354058265686035,-0.0032669156789779663,0.006986558437347412,0.532229404183151
shallow,smooth,Orthogonal,acc,125,-0.00896,0.0,-0.0016445517539978027,0.0022317171096801758,0.8824134989733762
shallow,smooth,Orthogonal,loss,125,-0.024896,0.003351151943206787,-0.0009057819843292236,0.009817779064178467,0.13572273755898723
shallow,smooth,FAVI,acc,125,-0.010496,0.0,0.0,2.9802322387532682e-09,0.794571089792084
shallow,smooth,FAVI,loss,125,-0.045504,0.005993396043777466,0.002209782600402832,0.009863018989562988,0.00040098239727671595
shallow,smooth,Laor,acc,125,0.061504,0.016666650772094727,0.005050599575042725,0.023391783237457275,2.0908028074736065e-05
shallow,smooth,Laor,loss,125,0.248768,-0.08984395861625671,-0.14186277985572815,-0.04772171378135681,3.022159866713499e-08
shallow,squashing,Xavier_Glorot,acc,125,-0.01984,-5.960464477539063e-08,-0.0025000572204589844,0.0,0.12622589152842384
shallow,squashing,Xavier_Glorot,loss,125,-0.001344,0.0019812583923339844,-9.274482727050781e-05,0.007929384708404541,0.25446635319852984
shallow,squashing,He_Kaiming,acc,125,-0.026496,0.0,-0.002415478229522705,0.0,0.1535985199072479
shallow,squashing,He_Kaiming,loss,125,0.03872,-0.004401564598083496,-0.010824978351593018,-0.0009576678276062012,1.110687296018138e-05
shallow,squashing,LeCun,acc,125,-0.04352,-0.0011245012283325195,-0.004545450210571289,0.0,0.0190725918666974
shallow,squashing,LeCun,loss,125,0.015552,-0.004043251276016235,-0.008240342140197754,0.001181274652481079,0.034196381551520126
shallow,squashing,Orthogonal,acc,125,-0.006976,0.0,-0.0042372941970825195,0.001818239688873291,0.37312604447831166
shallow,squashing,Orthogonal,loss,125,-0.017728,0.0035842061042785645,0.0007287412881851196,0.009029380977153778,0.031184741592466623
shallow,squashing,FAVI,acc,125,-0.013952,0.0,-0.0025000572204589844,0.0,0.5572160479365218
shallow,squashing,FAVI,loss,125,-0.018368,0.005088746547698975,0.0020014941692352295,0.009604334831237793,0.011511985102089685
shallow,squashing,Laor,acc,125,0.082432,0.012499868869781494,0.007441580295562744,0.017499923706054688,1.69838254398563e-05
shallow,squashing,Laor,loss,125,0.149184,-0.04659712314605713,-0.07632988691329956,-0.03125080466270447,6.553990784354767e-14
