topology,activation,rule,baseline,cluster,n_trials,gp_acc_mean,baseline_acc_mean,gp_loss_mean,baseline_loss_mean,wilcoxon_acc_stat,wilcoxon_acc_pval_raw,wilcoxon_loss_stat,wilcoxon_loss_pval_raw,binomial_wins,binomial_win_rate,wilcoxon_acc_pval_holm,wilcoxon_loss_pval_holm,acc_significant,loss_significant
shallow,rectification,GP_Rule_4,Orthogonal,0,15,0.908747128645579,0.9107532898585001,0.1925597940882047,0.19817007978757223,53.0,0.4874799594158549,29.0,0.0416259765625,11,0.7333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,FAVI,0,15,0.908747128645579,0.9093345801035563,0.1925597940882047,0.1927213504910469,42.0,0.40697267315083047,44.0,0.1947021484375,10,0.6666666666666666,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,Laor,0,15,0.908747128645579,0.8919080058733623,0.1925597940882047,0.2430079291264216,114.0,0.00042724609375,1.0,6.103515625e-05,14,0.9333333333333333,0.03524159567390982,0.00506591796875,True,True
shallow,rectification,GP_Rule_5,Xavier_Glorot,0,15,0.9083233515421549,0.9093420664469402,0.19597000827391942,0.1885378286242485,41.0,0.7648311018693017,100.0,0.990966796875,3,0.2,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,He_Kaiming,0,15,0.9083233515421549,0.9086378256479899,0.19597000827391942,0.18639335731665294,62.0,0.467041015625,71.0,0.737762451171875,8,0.5333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,LeCun,0,15,0.9083233515421549,0.9158024390538534,0.19597000827391942,0.18422713056206702,36.0,0.91558837890625,89.0,0.95269775390625,5,0.3333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,Orthogonal,0,15,0.9083233515421549,0.9107532898585001,0.19597000827391942,0.19817007978757223,43.0,0.7246363302207582,52.0,0.339385986328125,8,0.5333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,FAVI,0,15,0.9083233515421549,0.9093345801035563,0.19597000827391942,0.1927213504910469,50.0,0.37657618238295726,90.0,0.9583740234375,4,0.26666666666666666,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,Laor,0,15,0.9083233515421549,0.8919080058733623,0.19597000827391942,0.2430079291264216,106.0,0.00335693359375,0.0,3.0517578125e-05,15,1.0,0.26519775390625,0.002593994140625,False,True
shallow,rectification,GP_Rule_1,Xavier_Glorot,1,50,0.7933572804927826,0.8087359696626664,0.5438310427963734,0.5364609262347222,279.5,0.9995376529760126,671.0,0.627552051960997,24,0.48,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,He_Kaiming,1,50,0.7933572804927826,0.8052259451150894,0.5438310427963734,0.5485726533830166,404.5,0.9877513887393812,519.0,0.12856189237761306,30,0.6,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,LeCun,1,50,0.7933572804927826,0.8056910705566406,0.5438310427963734,0.5487903791666031,251.0,0.9997264046439879,500.0,0.09384195208670754,31,0.62,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Orthogonal,1,50,0.7933572804927826,0.8050299382209778,0.5438310427963734,0.5508995082974434,299.5,0.9994488729033589,554.0,0.2131479795573199,25,0.5,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,FAVI,1,50,0.7933572804927826,0.8045284700393677,0.5438310427963734,0.5331953898817301,290.5,0.9980997389570496,662.0,0.5945298593820292,25,0.5,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Laor,1,50,0.7933572804927826,0.7719511616230011,0.5438310427963734,0.6833973416686058,948.0,0.00011105054343404743,71.0,2.948956634440947e-10,41,0.82,0.009439296191894032,2.654060970996852e-08,True,True
shallow,rectification,GP_Rule_2,Xavier_Glorot,1,50,0.8031838911771775,0.8087359696626664,0.5406281407177448,0.5364609262347222,254.0,0.9932375932696217,836.0,0.9728919088347716,18,0.36,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,He_Kaiming,1,50,0.8031838911771775,0.8052259451150894,0.5406281407177448,0.5485726533830166,543.0,0.8191956219617382,526.0,0.1433210182730038,27,0.54,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,LeCun,1,50,0.8031838911771775,0.8056910705566406,0.5406281407177448,0.5487903791666031,456.5,0.5789654705593044,464.0,0.047566669683604346,31,0.62,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Orthogonal,1,50,0.8031838911771775,0.8050299382209778,0.5406281407177448,0.5508995082974434,415.5,0.9615761950696253,623.0,0.4467235084853325,23,0.46,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,FAVI,1,50,0.8031838911771775,0.8045284700393677,0.5406281407177448,0.5331953898817301,524.0,0.6639633072893162,728.0,0.8085481543363251,20,0.4,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Laor,1,50,0.8031838911771775,0.7719511616230011,0.5406281407177448,0.6833973416686058,1137.5,6.938895479124586e-07,121.0,2.472833227074034e-08,40,0.8,6.106228021629637e-05,2.1513649075544095e-06,True,True
shallow,rectification,GP_Rule_3,Xavier_Glorot,1,50,0.8017540949583054,0.8087359696626664,0.5426180894672871,0.5364609262347222,285.0,0.9956622768080237,836.0,0.9728919088347716,14,0.28,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,He_Kaiming,1,50,0.8017540949583054,0.8052259451150894,0.5426180894672871,0.5485726533830166,514.0,0.8834128128077707,551.0,0.20485179093006511,27,0.54,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,LeCun,1,50,0.8017540949583054,0.8056910705566406,0.5426180894672871,0.5487903791666031,210.0,0.9900361674438058,654.0,0.5646030470278429,21,0.42,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Orthogonal,1,50,0.8017540949583054,0.8050299382209778,0.5426180894672871,0.5508995082974434,380.5,0.9894948935064446,636.0,0.4961834139582253,21,0.42,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,FAVI,1,50,0.8017540949583054,0.8045284700393677,0.5426180894672871,0.5331953898817301,550.0,0.6516454479652564,778.0,0.912506192319956,19,0.38,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Laor,1,50,0.8017540949583054,0.7719511616230011,0.5426180894672871,0.6833973416686058,1018.5,5.036117184384148e-06,98.0,3.7734304569880806e-09,42,0.84,0.0004381421950414209,3.3583531067193917e-07,True,True
shallow,rectification,GP_Rule_4,Xavier_Glorot,1,50,0.8027038496732711,0.8087359696626664,0.5547991921007633,0.5364609262347222,384.0,0.9340834115885821,914.0,0.9966347701652749,18,0.36,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,He_Kaiming,1,50,0.8027038496732711,0.8052259451150894,0.5547991921007633,0.5485726533830166,489.0,0.8450530533940379,782.0,0.9185338713196831,22,0.44,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,LeCun,1,50,0.8027038496732711,0.8056910705566406,0.5547991921007633,0.5487903791666031,554.0,0.5421389270057423,629.0,0.46949610865559155,26,0.52,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,Orthogonal,1,50,0.8027038496732711,0.8050299382209778,0.5547991921007633,0.5508995082974434,415.0,0.9752705920562122,746.0,0.8522635837916992,22,0.44,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,FAVI,1,50,0.8027038496732711,0.8045284700393677,0.5547991921007633,0.5331953898817301,589.0,0.4959081408222024,901.0,0.9950178591173193,17,0.34,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,Laor,1,50,0.8027038496732711,0.7719511616230011,0.5547991921007633,0.6833973416686058,1149.0,3.9499423475196554e-07,205.0,5.5168444523800986e-06,36,0.72,3.5154486892924933e-05,0.0004744486229046885,True,True
shallow,rectification,GP_Rule_5,Xavier_Glorot,1,50,0.8073910975456238,0.8087359696626664,0.5309481996297837,0.5364609262347222,429.0,0.8884410446264248,740.0,0.8384861170235709,18,0.36,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,He_Kaiming,1,50,0.8073910975456238,0.8052259451150894,0.5309481996297837,0.5485726533830166,645.0,0.3732366496028381,437.0,0.026494894155017157,29,0.58,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,LeCun,1,50,0.8073910975456238,0.8056910705566406,0.5309481996297837,0.5487903791666031,502.5,0.1753867579161058,379.0,0.005933619546194535,33,0.66,1.0,0.45095508551078467,False,False
shallow,rectification,GP_Rule_5,Orthogonal,1,50,0.8073910975456238,0.8050299382209778,0.5309481996297837,0.5508995082974434,572.0,0.5651832933419583,527.0,0.14551765886356094,26,0.52,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,FAVI,1,50,0.8073910975456238,0.8045284700393677,0.5309481996297837,0.5331953898817301,711.0,0.031238076722757472,537.0,0.16870138338530705,27,0.54,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,Laor,1,50,0.8073910975456238,0.7719511616230011,0.5309481996297837,0.6833973416686058,1165.5,1.7257485874067863e-07,113.0,1.3189026759619082e-08,39,0.78,1.5531737286661076e-05,1.1606343548464793e-06,True,True
shallow,rectification,GP_Rule_1,Xavier_Glorot,2,60,0.7431776781876882,0.7514227479696274,0.6073673300445079,0.5589563270409902,353.5,0.9969424704536861,1133.0,0.9457343289975884,26,0.43333333333333335,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,He_Kaiming,2,60,0.7431776781876882,0.74625896414121,0.6073673300445079,0.5766071354349455,595.0,0.8040198942942517,910.0,0.4853190416641548,37,0.6166666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,LeCun,2,60,0.7431776781876882,0.7478761523962021,0.6073673300445079,0.5735263050844271,591.5,0.9032250368828898,1063.0,0.862037072666167,30,0.5,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Orthogonal,2,60,0.7431776781876882,0.7495481332143148,0.6073673300445079,0.5643808659166097,525.5,0.9691498452527001,1124.0,0.9380459604913268,27,0.45,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,FAVI,2,60,0.7431776781876882,0.7490850587685903,0.6073673300445079,0.5746724290152391,495.5,0.9742696412594049,1191.0,0.9789135178519188,22,0.36666666666666664,1.0,1.0,False,False
shallow,rectification,GP_Rule_1,Laor,2,60,0.7431776781876882,0.7206187432010969,0.6073673300445079,0.6979649518926938,1293.0,0.0010364454852779578,611.0,0.012612897801059933,37,0.6166666666666667,0.08395208430751458,0.945967335079495,False,False
shallow,rectification,GP_Rule_2,Xavier_Glorot,2,60,0.7511485616366068,0.7514227479696274,0.6046752672642469,0.5589563270409902,591.0,0.48772638619136127,1217.0,0.9868989799676537,23,0.38333333333333336,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,He_Kaiming,2,60,0.7511485616366068,0.74625896414121,0.6046752672642469,0.5766071354349455,990.0,0.09696132224563742,919.0,0.5117457212957676,33,0.55,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,LeCun,2,60,0.7511485616366068,0.7478761523962021,0.6046752672642469,0.5735263050844271,719.5,0.04992716635197552,1139.0,0.9504260876225966,30,0.5,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Orthogonal,2,60,0.7511485616366068,0.7495481332143148,0.6046752672642469,0.5643808659166097,653.0,0.2524855364199362,1206.0,0.9839123689114734,26,0.43333333333333335,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,FAVI,2,60,0.7511485616366068,0.7490850587685903,0.6046752672642469,0.5746724290152391,634.5,0.15220651741380015,1071.0,0.8746003403720212,31,0.5166666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_2,Laor,2,60,0.7511485616366068,0.7206187432010969,0.6046752672642469,0.6979649518926938,1384.0,8.279592411385622e-05,546.0,0.003299492385193345,41,0.6833333333333333,0.007120449473791635,0.2573604060450809,True,False
shallow,rectification,GP_Rule_3,Xavier_Glorot,2,60,0.743621348341306,0.7514227479696274,0.607762266571323,0.5589563270409902,467.0,0.9783992415647014,1226.0,0.9889736377196746,26,0.43333333333333335,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,He_Kaiming,2,60,0.743621348341306,0.74625896414121,0.607762266571323,0.5766071354349455,796.5,0.5941994219950244,939.0,0.5701195241689043,33,0.55,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,LeCun,2,60,0.743621348341306,0.7478761523962021,0.607762266571323,0.5735263050844271,497.5,0.9117270396703571,1187.0,0.9773767723157859,25,0.4166666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Orthogonal,2,60,0.743621348341306,0.7495481332143148,0.607762266571323,0.5643808659166097,548.0,0.9309480370779581,1263.0,0.9947940040478809,23,0.38333333333333336,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,FAVI,2,60,0.743621348341306,0.7490850587685903,0.607762266571323,0.5746724290152391,331.0,0.934055121547132,1202.0,0.9826902014992872,23,0.38333333333333336,1.0,1.0,False,False
shallow,rectification,GP_Rule_3,Laor,2,60,0.743621348341306,0.7206187432010969,0.607762266571323,0.6979649518926938,1290.0,0.0011179596466884079,559.0,0.004387077488216809,43,0.7166666666666667,0.08943677173507263,0.33780496659269427,False,False
shallow,rectification,GP_Rule_4,Xavier_Glorot,2,60,0.7500619838635126,0.7514227479696274,0.5690545926491419,0.5589563270409902,385.5,0.7201061076952598,981.0,0.6864688404120088,27,0.45,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,He_Kaiming,2,60,0.7500619838635126,0.74625896414121,0.5690545926491419,0.5766071354349455,876.5,0.18610985722247997,810.0,0.21977056626347424,31,0.5166666666666667,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,LeCun,2,60,0.7500619838635126,0.7478761523962021,0.5690545926491419,0.5735263050844271,570.5,0.11952562317288623,744.0,0.10404512795502652,32,0.5333333333333333,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,Orthogonal,2,60,0.7500619838635126,0.7495481332143148,0.5690545926491419,0.5643808659166097,669.5,0.4757081938897689,863.0,0.35093278645176534,29,0.48333333333333334,1.0,1.0,False,False
shallow,rectification,GP_Rule_4,FAVI,2,60,0.7500619838635126,0.7490850587685903,0.5690545926491419,0.5746724290152391,588.5,0.4979540973145307,695.0,0.052664202861656684,36,0.6,1.0,1.0,False,False
